place_i,place_j,shared_users,place_i_users,place_j_users,pci,dir_pci
GGY,GUY,1,1036,442,1.478,2.262
CHE,MSR,8,76384,77,3.299,103.896
ZWE,URY,14,13401,48468,0.549,0.289
POL,XAD,7,58288,135,2.495,51.852
ISL,SRB,56,5949,17319,5.517,3.233
ISL,UGA,29,5949,20930,2.599,1.386
DZA,BRB,4,21587,2089,0.596,1.915
COG,GNB,3,1963,98,6.840,30.612
SVK,LTU,94,3599,5816,20.546,16.162
LBN,MNG,10,6368,2244,2.645,4.456
SDN,UGA,62,15075,20930,3.490,2.962
MYT,LBN,1,123,6368,1.130,0.157
URY,BLR,13,48468,4614,0.869,2.818
FRA,GGY,197,487938,1036,8.762,190.154
SDN,SRB,20,15075,17319,1.238,1.155
BIH,TLS,2,2960,218,2.490,9.174
TZA,CHL,111,25444,143661,1.836,0.773
MOZ,MLT,6,2682,3352,2.001,1.790
ISL,PER,193,5949,81652,8.757,2.364
MDG,BIH,7,754,2960,4.686,2.365
PRI,SRB,55,48671,17319,1.894,3.176
VNM,EST,120,47073,7914,6.217,15.163
LSO,KOR,7,753,111488,0.764,0.063
BEL,GNB,7,96930,98,2.271,71.429
FJI,MAR,24,1393,35288,3.423,0.680
EST,MTQ,2,7914,991,0.714,2.018
TTO,MNE,4,2571,1771,1.875,2.259
ARE,MNP,6,172797,269,0.880,22.305
TTO,JEY,1,2571,2019,0.439,0.495
MSR,MDG,1,77,754,4.150,1.326
GRD,IRL,22,547,107364,2.871,0.205
LVA,SEN,6,9833,3434,1.033,1.747
GUF,AUT,9,303,61352,2.087,0.147
KWT,CYP,90,110415,4285,4.138,21.004
GHA,BFA,41,56052,508,7.683,80.709
MSR,NZL,2,77,29647,1.324,0.067
MUS,JEY,7,1957,2019,3.522,3.467
NAM,GRD,9,2871,547,7.182,16.453
GLP,MOZ,2,1022,2682,1.208,0.746
STP,ATG,2,69,1084,7.313,1.845
IDN,PER,761,797242,81652,2.983,9.320
MKD,BOL,15,1634,5771,4.885,2.599
UKR,ARG,263,19011,410228,2.978,0.641
TTO,KAZ,4,2571,3178,1.399,1.259
TTO,COM,1,2571,104,1.934,9.615
DOM,MUS,34,46940,1957,3.547,17.374
CHN,FRA,6609,150889,487938,24.357,13.545
QAT,CHE,1386,38118,76384,25.686,18.145
PNG,AUS,109,451,179728,12.107,0.606
POL,VCT,5,58288,373,1.072,13.405
KEN,BRN,5,62817,1425,0.528,3.509
LAO,CYP,16,2983,4285,4.475,3.734
EGY,FSM,2,156265,50,0.716,40.000
RWA,ARE,127,2415,172797,6.217,0.735
PRT,WLF,1,114156,4,1.480,250.000
CHN,LVA,215,150889,9833,5.582,21.865
LTU,SSD,3,5816,1682,0.959,1.784
AGO,TCD,6,2537,308,6.788,19.481
ROU,BWA,18,18903,2692,2.523,6.686
CHL,GIN,14,143661,1066,1.131,13.133
ZMB,SVK,11,9787,3599,1.853,3.056
TWN,CRI,88,61165,27611,2.141,3.187
SUR,MWI,2,319,1396,2.997,1.433
POL,BTN,6,58288,727,0.922,8.253
LUX,ETH,8,8446,2741,1.663,2.919
FRO,LTU,2,272,5816,1.590,0.344
GTM,XKO,6,9361,1164,1.818,5.155
IRN,LVA,24,14530,9833,2.008,2.441
DJI,AZE,5,151,4083,6.368,1.225
SAU,FJI,13,517797,1393,0.484,9.332
TUR,MAC,85,717647,4155,1.557,20.457
MLI,ROU,9,925,18903,2.152,0.476
BIH,ISR,70,2960,10149,12.771,6.897
GEO,ETH,17,4124,2741,5.056,6.202
MNG,RUS,238,2244,136230,13.612,1.747
ECU,LIE,3,61055,748,0.444,4.011
GUM,AUS,97,3958,179728,3.637,0.540
SWE,MUS,59,59123,1957,5.485,30.148
ARE,ZMB,247,172797,9787,6.006,25.238
BEL,PNG,14,96930,451,2.117,31.042
CRI,SYR,10,27611,1493,1.558,6.698
GIN,PYF,1,1066,766,1.107,1.305
NOR,MLI,9,31294,925,1.673,9.730
DNK,OMN,126,38106,40057,3.225,3.146
COD,MDA,9,4194,737,5.119,12.212
VUT,AND,1,199,4256,1.087,0.235
IRL,DEU,7720,107364,273307,45.067,28.247
AUT,WSM,3,61352,228,0.802,13.158
MWI,ZAF,208,1396,180112,13.117,1.155
BRB,IRN,18,2089,14530,3.267,1.239
AFG,ATG,4,1444,1084,3.197,3.690
SLE,IND,39,638,869366,1.656,0.045
IMN,ALB,1,2568,1755,0.471,0.570
CRI,BHS,174,27611,7854,11.816,22.154
SEN,CIV,66,3434,2962,20.694,22.282
CAN,AUT,2875,384644,61352,18.715,46.861
VNM,HKG,2054,47073,42552,45.894,48.270
AUS,UZB,49,179728,1596,2.893,30.702
PNG,GEO,2,451,4124,1.467,0.485
TLS,BRA,22,218,1284039,1.315,0.017
SHN,SYR,1,29,1493,4.806,0.670
HRV,SAU,122,9250,517797,1.763,0.236
UZB,DEU,131,1596,273307,6.272,0.479
MUS,GUF,3,1957,303,3.896,9.901
CYM,MUS,8,1631,1957,4.478,4.088
AUT,UGA,114,61352,20930,3.181,5.447
BRA,MMR,211,1284039,4807,2.686,43.894
SUR,TCD,2,319,308,6.381,6.494
SEN,BMU,5,3434,997,2.702,5.015
LAO,ESP,150,2983,612306,3.510,0.245
PRT,VNM,747,114156,47073,10.190,15.869
DJI,GAB,2,151,1522,4.172,1.314
BHS,SAU,48,7854,517797,0.753,0.093
TUR,SDN,268,717647,15075,2.577,17.778
GUM,GEO,2,3958,4124,0.495,0.485
DMA,PRT,15,246,114156,2.831,0.131
XNC,PAK,10,3582,102573,0.522,0.097
BRA,JEY,26,1284039,2019,0.511,12.878
NCL,FJI,17,346,1393,24.487,12.204
FJI,BRN,2,1393,1425,1.420,1.404
UKR,HND,18,19011,5203,1.810,3.460
JEY,TON,1,2019,125,1.991,8.000
KOR,VNM,2826,111488,47073,39.010,60.034
BEL,COM,4,96930,104,1.260,38.462
ZAF,PHL,917,180112,571031,2.859,1.606
PHL,BGR,178,571031,5496,3.177,32.387
AUT,BGD,123,61352,38564,2.529,3.190
DZA,CRI,34,21587,27611,1.393,1.231
GRD,CYP,7,547,4285,4.572,1.634
CYM,GRD,12,1631,547,12.705,21.938
MRT,BDI,2,429,289,5.680,6.920
PRK,PER,16,450,81652,2.640,0.196
TTO,NGA,54,2571,218728,2.277,0.247
URY,TLS,6,48468,218,1.846,27.523
SDN,WSM,3,15075,228,1.618,13.158
GEO,SOM,3,4124,1345,1.274,2.230
ISR,PER,275,10149,81652,9.553,3.368
GBR,ROU,3757,1172344,18903,25.238,198.752
NER,PSE,3,518,3954,2.096,0.759
EGY,MOZ,60,156265,2682,2.931,22.371
MYT,RUS,4,123,136230,0.977,0.029
MEX,DJI,8,594386,151,0.844,52.980
SWZ,TWN,7,788,61165,1.008,0.114
GRL,AND,3,447,4256,2.175,0.705
HKG,MWI,7,42552,1396,0.908,5.014
LVA,TCA,2,9833,1467,0.527,1.363
BLR,ETH,13,4614,2741,3.656,4.743
BRN,KAZ,9,1425,3178,4.229,2.832
GUY,AUS,22,442,179728,2.468,0.122
ARG,SLB,8,410228,74,1.452,108.108
LCA,ECU,13,1263,61055,1.480,0.213
IRN,SGP,132,14530,75983,3.973,1.737
MDA,COL,36,737,236920,2.724,0.152
SVN,MWI,1,3390,1396,0.460,0.716
COL,OMN,94,236920,40057,0.965,2.347
MMR,ALB,16,4807,1755,5.509,9.117
MWI,PRI,5,1396,48671,0.607,0.103
VGB,CMR,2,698,9757,0.766,0.205
FRA,CIV,304,487938,2962,7.996,102.633
MUS,GIN,5,1957,1066,3.462,4.690
BRB,VUT,5,2089,199,7.755,25.126
JPN,KAZ,154,1087206,3178,2.620,48.458
OMN,CRI,33,40057,27611,0.992,1.195
VUT,UKR,2,199,19011,1.028,0.105
NLD,GUY,26,191777,442,2.824,58.824
DEU,QAT,2038,273307,38118,19.967,53.466
KNA,OMN,2,641,40057,0.395,0.050
TUR,VIR,39,717647,4378,0.696,8.908
MWI,BEL,16,1396,96930,1.375,0.165
SWE,SLV,70,59123,19968,2.037,3.506
BEN,LBY,3,1200,2753,1.651,1.090
GIN,MUS,5,1066,1957,3.462,2.555
DOM,PSE,50,46940,3954,3.670,12.645
HTI,VCT,1,2693,373,0.998,2.681
VUT,URY,6,199,48468,1.932,0.124
PRK,ISL,11,450,5949,6.723,1.849
DEU,MAR,2451,273307,35288,24.958,69.457
NGA,ASM,5,218728,106,1.038,47.170
AND,SAU,30,4256,517797,0.639,0.058
RUS,THA,2829,136230,349012,12.974,8.106
ZWE,AFG,5,13401,1444,1.137,3.463
JEY,ZAF,43,2019,180112,2.255,0.239
ROU,TCD,4,18903,308,1.658,12.987
CHL,KAZ,36,143661,3178,1.685,11.328
EGY,MSR,3,156265,77,0.865,38.961
VCT,BRA,16,373,1284039,0.731,0.012
GTM,FIN,27,9361,32500,1.548,0.831
EST,LIE,30,7914,748,12.330,40.107
SRB,OMN,56,17319,40057,2.126,1.398
IRN,GGY,1,14530,1036,0.258,0.965
DZA,VUT,2,21587,199,0.965,10.050
JAM,WSM,5,8567,228,3.578,21.930
GBR,LSO,52,1172344,753,1.750,69.057
BGD,SLV,22,38564,19968,0.793,1.102
COM,LVA,2,104,9833,1.978,0.203
LTU,BTN,5,5816,727,2.432,6.878
GRC,BES,16,61903,414,3.161,38.647
DJI,NGA,5,151,218728,0.870,0.023
AGO,EGY,54,2537,156265,2.712,0.346
IRL,JEY,110,107364,2019,7.471,54.482
SEN,SVK,11,3434,3599,3.129,3.056
ARM,YEM,2,1505,1355,1.401,1.476
GHA,NGA,2854,56052,218728,25.775,13.048
PRY,ATG,1,39492,1084,0.153,0.923
SWZ,TZA,19,788,25444,4.243,0.747
BRN,DJI,1,1425,151,2.156,6.623
COG,CHN,54,1963,150889,3.138,0.358
ESP,LBY,64,612306,2753,1.559,23.247
JOR,PAK,113,27790,102573,2.116,1.102
BOL,AUT,86,5771,61352,4.570,1.402
MNP,ARE,6,269,172797,0.880,0.035
MEX,COM,4,594386,104,0.509,38.462
ISR,VGB,16,10149,698,6.011,22.923
REU,SVN,3,2224,3390,1.093,0.885
BDI,PYF,2,289,766,4.251,2.611
REU,PRY,5,2224,39492,0.534,0.127
PLW,ARE,10,116,172797,2.234,0.058
FIN,GMB,4,32500,542,0.953,7.380
ISR,ESH,10,10149,555,4.213,18.018
REU,IRL,24,2224,107364,1.553,0.224
JEY,SDN,2,2019,15075,0.363,0.133
ARG,TUR,1703,410228,717647,3.139,2.373
NPL,MNE,29,8375,1771,7.530,16.375
CYP,TUR,569,4285,717647,10.261,0.793
GRL,DNK,60,447,38106,14.538,1.575
LBR,CHL,15,635,143661,1.570,0.104
VNM,ARG,605,47073,410228,4.354,1.475
BGD,PER,150,38564,81652,2.673,1.837
KEN,JPN,616,62817,1087206,2.357,0.567
USA,CYP,799,4704692,4285,5.627,186.464
GBR,TKM,31,1172344,188,2.088,164.894
DEU,GHA,687,273307,56052,5.551,12.256
FSM,VNM,3,50,47073,1.955,0.064
NRU,GRD,1,12,547,12.343,1.828
COG,SGP,20,1963,75983,1.638,0.263
VUT,MYS,20,199,300914,2.585,0.066
ECU,CRI,431,61055,27611,10.497,15.610
NPL,MMR,126,8375,4807,19.858,26.212
KAZ,ALB,19,3178,1755,8.045,10.826
KHM,MEX,421,5940,594386,7.085,0.708
PAN,NIC,131,12245,3841,19.102,34.106
PRY,MAC,3,39492,4155,0.234,0.722
JAM,UGA,43,8567,20930,3.211,2.054
ERI,PSE,3,65,3954,5.918,0.759
PAK,MEX,436,102573,594386,1.766,0.734
KOR,PAN,84,111488,12245,2.273,6.860
PER,MUS,50,81652,1957,3.955,25.549
NPL,KAZ,32,8375,3178,6.203,10.069
ARE,TZA,860,172797,25444,12.970,33.800
MAC,STP,1,4155,69,1.868,14.493
PYF,SEN,4,766,3434,2.466,1.165
PYF,MNG,7,766,2244,5.339,3.119
MTQ,SRB,7,991,17319,1.690,0.404
ARM,MEX,69,1505,594386,2.307,0.116
TWN,LIE,14,61165,748,2.070,18.717
KOR,GRC,505,111488,61903,6.079,8.158
FJI,IRQ,10,1393,8149,2.968,1.227
PYF,LSO,1,766,753,1.317,1.328
DEU,BHR,383,273307,9721,7.430,39.399
AFG,NIC,4,1444,3841,1.698,1.041
GLP,EGY,18,1022,156265,1.424,0.115
SWZ,VNM,8,788,47073,1.314,0.170
BEN,CHN,24,1200,150889,1.784,0.159
GUY,COG,3,442,1963,3.221,1.528
PER,VGB,19,81652,698,2.517,27.221
AZE,URY,15,4083,48468,1.066,0.309
ZAF,LKA,208,180112,7471,5.670,27.841
SAU,LIE,14,517797,748,0.711,18.717
MRT,TCD,2,429,308,5.502,6.494
CAF,TKM,1,176,188,5.497,5.319
DZA,HRV,43,21587,9250,3.043,4.649
LTU,KHM,21,5816,5940,3.573,3.535
ZMB,CHN,117,9787,150889,3.045,0.775
MNE,CYM,7,1771,1631,4.119,4.292
MNE,BGR,92,1771,5496,29.489,16.739
PLW,PAK,3,116,102573,0.870,0.029
PRT,PAN,214,114156,12245,5.724,17.477
HND,SLB,2,5203,74,3.223,27.027
TGO,MTQ,3,908,991,3.163,3.027
JOR,ARE,3828,27790,172797,55.241,22.153
ROU,DOM,106,18903,46940,3.559,2.258
GRL,SWE,40,447,59123,7.781,0.677
ERI,EST,1,65,7914,1.394,0.126
SMR,ECU,11,869,61055,1.510,0.180
NIC,URY,29,3841,48468,2.125,0.598
RUS,USA,9475,136230,4704692,11.835,2.014
BGD,HKG,148,38564,42552,3.654,3.478
DEU,TGO,25,273307,908,1.587,27.533
SVN,GBR,857,3390,1172344,13.594,0.731
JAM,BGD,40,8567,38564,2.201,1.037
ISL,LAO,40,5949,2983,9.495,13.409
DMA,GBR,66,246,1172344,3.886,0.056
BFA,HUN,7,508,30689,1.773,0.228
LKA,DNK,110,7471,38106,6.519,2.887
CUB,MNE,28,6315,1771,8.373,15.810
USA,SVK,841,4704692,3599,6.463,233.676
HTI,VIR,20,2693,4378,5.825,4.568
LAO,CIV,4,2983,2962,1.346,1.350
GUF,MTQ,27,303,991,49.273,27.245
CAF,PRT,5,176,114156,1.115,0.044
GBR,BRB,704,1172344,2089,14.226,337.003
ITA,BLR,456,302492,4614,12.206,98.830
VGB,GRC,37,698,61903,5.629,0.598
JPN,AND,164,1087206,4256,2.411,38.534
UKR,QAT,109,19011,38118,4.049,2.860
NAM,ERI,1,2871,65,2.315,15.385
BFA,MYS,15,508,300914,1.213,0.050
AFG,BTN,2,1444,727,1.952,2.751
TUR,VCT,15,717647,373,0.917,40.214
DEU,HKG,2263,273307,42552,20.985,53.182
HND,IDN,66,5203,797242,1.025,0.083
THA,PER,833,349012,81652,4.934,10.202
COG,IND,81,1963,869366,1.961,0.093
TON,AGO,3,125,2537,5.327,1.182
MNE,GRD,6,1771,547,6.096,10.969
JAM,BRA,382,8567,1284039,3.642,0.297
PER,CYM,34,81652,1631,2.946,20.846
NGA,BOL,54,218728,5771,1.520,9.357
MNG,REU,3,2244,2224,1.343,1.349
MRT,SOM,3,429,1345,3.949,2.230
IND,GRL,59,869366,447,2.993,131.991
LAO,BMU,6,2983,997,3.479,6.018
QAT,UGA,116,38118,20930,4.107,5.542
GEO,BDI,2,4124,289,1.832,6.920
NZL,JOR,132,29647,27790,4.599,4.750
MDA,CHE,44,737,76384,5.864,0.576
HUN,SYC,15,30689,534,3.705,28.090
LAO,KEN,30,2983,62817,2.192,0.478
BLR,GBR,338,4614,1172344,4.596,0.288
TLS,LUX,3,218,8446,2.211,0.355
ISL,GMB,8,5949,542,4.455,14.760
EGY,MKD,50,156265,1634,3.129,30.600
SLE,SVK,5,638,3599,3.300,1.389
DOM,GHA,75,46940,56052,1.462,1.338
KEN,GRD,16,62817,547,2.730,29.250
LIE,PHL,25,748,571031,1.210,0.044
MUS,URY,12,1957,48468,1.232,0.248
HTI,BEL,31,2693,96930,1.919,0.320
AUS,CYM,72,179728,1631,4.205,44.145
COM,IND,11,104,869366,1.157,0.013
SVN,SAU,57,3390,517797,1.360,0.110
BIH,PAN,24,2960,12245,3.986,1.960
IND,SDN,362,869366,15075,3.162,24.013
AUS,BGR,238,179728,5496,7.573,43.304
EGY,ROU,361,156265,18903,6.642,19.097
TON,SLB,1,125,74,10.398,13.514
ETH,SYR,11,2741,1493,5.438,7.368
POL,ZAF,550,58288,180112,5.368,3.054
PYF,KNA,2,766,641,2.854,3.120
IND,SLB,11,869366,74,1.371,148.649
NZL,IRN,74,29647,14530,3.565,5.093
ARE,TLS,9,172797,218,1.466,41.284
BGR,LBN,54,5496,6368,9.128,8.480
KOR,ARE,1852,111488,172797,13.343,10.718
TTO,URY,9,2571,48468,0.806,0.186
SDN,CHE,98,15075,76384,2.888,1.283
EGY,MYT,3,156265,123,0.684,24.390
LKA,USA,1000,7471,4704692,5.334,0.213
NIC,AZE,10,3841,4083,2.525,2.449
USA,CAF,51,4704692,176,1.772,289.773
FJI,ISL,22,1393,5949,7.642,3.698
PAK,PHL,415,102573,571031,1.715,0.727
GLP,NLD,50,1022,191777,3.571,0.261
BMU,VIR,26,997,4378,12.445,5.939
LAO,LCA,5,2983,1263,2.576,3.959
PAN,KHM,27,12245,5940,3.166,4.545
AFG,MLI,4,1444,925,3.461,4.324
ARM,MLI,3,1505,925,2.543,3.243
GEO,STP,4,4124,69,7.499,57.971
MUS,RWA,21,1957,2415,9.660,8.696
LKA,MYS,455,7471,300914,9.596,1.512
ESH,ROU,7,555,18903,2.161,0.370
PRK,GMB,3,450,542,6.075,5.535
ROU,LSO,6,18903,753,1.590,7.968
GRD,GNQ,2,547,196,6.108,10.204
CUB,PNG,2,6315,451,1.185,4.435
KWT,CUB,38,110415,6315,1.439,6.017
CRI,LBY,6,27611,2753,0.688,2.179
UGA,GGY,2,20930,1036,0.430,1.931
CRI,IMN,6,27611,2568,0.713,2.336
COG,PER,24,1963,81652,1.896,0.294
TUR,BWA,43,717647,2692,0.978,15.973
CZE,CIV,21,43191,2962,1.857,7.090
ERI,LVA,2,65,9833,2.502,0.203
VIR,HUN,22,4378,30689,1.898,0.717
CYM,GTM,22,1631,9361,5.630,2.350
GLP,TUR,22,1022,717647,0.812,0.031
MAC,BEL,96,4155,96930,4.784,0.990
PRY,MOZ,10,39492,2682,0.972,3.729
GRD,TGO,3,547,908,4.257,3.304
KEN,ESP,1175,62817,612306,5.991,1.919
SDN,ASM,1,15075,106,0.791,9.434
IRN,ARG,101,14530,410228,1.308,0.246
CZE,GNQ,4,43191,196,1.375,20.408
BEN,ZWE,9,1200,13401,2.244,0.672
BDI,LCA,3,289,1263,4.966,2.375
FRO,TZA,11,272,25444,4.181,0.432
ISR,SVK,70,10149,3599,11.582,19.450
GNB,CUB,3,98,6315,3.813,0.475
CHN,ARG,1067,150889,410228,4.289,2.601
COM,HKG,4,104,42552,1.901,0.094
LKA,NZL,142,7471,29647,9.541,4.790
JPN,SLE,24,1087206,638,0.911,37.618
BEN,EST,3,1200,7914,0.973,0.379
BRB,COD,10,2089,4194,3.378,2.384
MDA,GNB,1,737,98,3.721,10.204
GRL,BLZ,9,447,1549,10.816,5.810
KEN,NCL,5,62817,346,1.072,14.451
TCD,TZA,8,308,25444,2.858,0.314
CPV,AUT,34,948,61352,4.458,0.554
MKD,BLZ,3,1634,1549,1.886,1.937
CYM,JAM,176,1631,8567,47.084,20.544
BWA,JOR,18,2692,27790,2.081,0.648
ZMB,PYF,4,9787,766,1.461,5.222
MNE,NCL,5,1771,346,6.387,14.451
JAM,DEU,355,8567,273307,7.336,1.299
IDN,CAF,19,797242,176,1.604,107.955
VCT,UKR,6,373,19011,2.253,0.316
LBN,PHL,163,6368,571031,2.703,0.285
JAM,GAB,11,8567,1522,3.046,7.227
BRA,UGA,164,1284039,20930,1.000,7.836
SGP,GGY,12,75983,1036,1.353,11.583
COM,PER,3,104,81652,1.029,0.037
EGY,YEM,61,156265,1355,4.192,45.018
CYP,BWA,9,4285,2692,2.650,3.343
GMB,AZE,3,542,4083,2.017,0.735
GNQ,GIN,4,196,1066,8.751,3.752
HND,KNA,5,5203,641,2.738,7.800
MLT,BGR,62,3352,5496,14.445,11.281
ARM,BDI,2,1505,289,3.033,6.920
POL,TKM,11,58288,188,3.323,58.511
COG,HKG,13,1963,42552,1.422,0.306
AZE,BEN,6,4083,1200,2.711,5.000
KNA,GRC,39,641,61903,6.191,0.630
NAM,SGP,40,2871,75983,2.708,0.526
LKA,COL,108,7471,236920,2.567,0.456
HTI,ROU,17,2693,18903,2.383,0.899
UGA,IRQ,14,20930,8149,1.072,1.718
MDG,OMN,17,754,40057,3.093,0.424
BLZ,BLR,8,1549,4614,2.992,1.734
LBY,TGO,3,2753,908,1.897,3.304
BTN,TCD,2,727,308,4.227,6.494
PAK,BDI,6,102573,289,1.102,20.761
BEN,PSE,5,1200,3954,2.295,1.265
ARM,EGY,52,1505,156265,3.391,0.333
AUS,ITA,6095,179728,302492,26.140,20.149
DNK,VNM,398,38106,47073,9.397,8.455
AFG,EGY,37,1444,156265,2.463,0.237
AUT,KAZ,105,61352,3178,7.520,33.040
KNA,PAN,11,641,12245,3.926,0.898
PRI,GUF,6,48671,303,1.562,19.802
BWA,IRN,11,2692,14530,1.759,0.757
ZAF,ETH,289,180112,2741,13.007,105.436
MTQ,GAB,1,991,1522,0.814,0.657
RUS,BEN,18,136230,1200,1.408,15.000
USA,GUM,984,4704692,3958,7.211,248.610
TCD,PAN,5,308,12245,2.575,0.408
IDN,LCA,46,797242,1263,1.450,36.421
IRN,EST,28,14530,7914,2.611,3.538
VEN,DMA,5,71139,246,1.195,20.325
REU,MAR,51,2224,35288,5.757,1.445
LBN,NOR,72,6368,31294,5.100,2.301
GRD,CYM,12,547,1631,12.705,7.357
TUR,DOM,358,717647,46940,1.951,7.627
COM,GRD,2,104,547,8.385,3.656
LBN,IDN,198,6368,797242,2.779,0.248
PAK,MWI,9,102573,1396,0.752,6.447
GNB,CAF,2,98,176,15.229,11.364
PRY,EGY,75,39492,156265,0.955,0.480
BLR,PLW,4,4614,116,5.468,34.483
COG,ESH,3,1963,555,2.874,5.405
AUT,AZE,161,61352,4083,10.172,39.432
IRL,UGA,95,107364,20930,2.004,4.539
GUM,QAT,21,3958,38118,1.710,0.551
IND,MYT,4,869366,123,0.387,32.520
TLS,URY,6,218,48468,1.846,0.124
COM,ISL,2,104,5949,2.543,0.336
JEY,GBR,1353,2019,1172344,27.810,1.154
REU,QAT,11,2224,38118,1.195,0.289
GBR,VCT,102,1172344,373,4.878,273.458
GEO,LKA,54,4124,7471,9.728,7.228
POL,MLT,170,58288,3352,12.162,50.716
TGO,BIH,2,908,2960,1.220,0.676
GRD,JPN,31,547,1087206,1.271,0.029
CHN,PYF,60,150889,766,5.581,78.329
MUS,LUX,15,1957,8446,3.690,1.776
CHN,EST,230,150889,7914,6.656,29.062
GIN,CIV,17,1066,2962,9.567,5.739
CZE,ALA,19,43191,444,4.339,42.793
CYP,MOZ,12,4285,2682,3.540,4.474
GRL,LBR,2,447,635,3.754,3.150
VGB,CHL,23,698,143661,2.297,0.160
GIN,JAM,6,1066,8567,1.985,0.700
UGA,MAR,112,20930,35288,4.121,3.174
MUS,FRO,7,1957,272,9.594,25.735
PRI,GAB,3,48671,1522,0.349,1.971
STP,TCD,1,69,308,6.860,3.247
KOR,NRU,2,111488,12,1.729,166.667
HTI,LSO,2,2693,753,1.404,2.656
TUR,PRT,2199,717647,114156,7.683,19.263
PRI,GIN,7,48671,1066,0.972,6.567
UGA,IMN,2,20930,2568,0.273,0.779
AND,LKA,9,4256,7471,1.596,1.205
ISR,LVA,102,10149,9833,10.210,10.373
TCA,ZMB,7,1467,9787,1.847,0.715
VIR,ASM,4,4378,106,5.872,37.736
ALB,CYP,38,1755,4285,13.857,8.868
TUN,MTQ,8,3690,991,4.184,8.073
GIN,KEN,17,1066,62817,2.077,0.271
PSE,NIC,13,3954,3841,3.336,3.385
BDI,CAF,4,289,176,17.736,22.727
FJI,AUS,390,1393,179728,24.648,2.170
DMA,TUN,2,246,3690,2.099,0.542
ALA,NPL,1,444,8375,0.519,0.119
HTI,NPL,13,2693,8375,2.737,1.552
IDN,CUB,236,797242,6315,3.326,37.371
VEN,NAM,4,71139,2871,0.280,1.393
GIN,SGP,6,1066,75983,0.667,0.079
MYT,UKR,1,123,19011,0.654,0.053
GAB,GHA,38,1522,56052,4.114,0.678
BES,ATG,20,414,1084,29.855,18.450
CAN,KOR,2379,384644,111488,11.488,21.339
IRQ,COD,27,8149,4194,4.618,6.438
LAO,BGR,26,2983,5496,6.421,4.731
AUS,JAM,304,179728,8567,7.747,35.485
XKO,BLR,14,1164,4614,6.041,3.034
DNK,PAN,66,38106,12245,3.055,5.390
LAO,CYM,6,2983,1631,2.720,3.679
CUB,DMA,10,6315,246,8.023,40.650
CZE,ITA,6530,43191,302492,57.129,21.587
MMR,CHL,87,4807,143661,3.311,0.606
BFA,REU,1,508,2224,0.941,0.450
ITA,FJI,98,302492,1393,4.774,70.352
XAD,MEX,6,135,594386,0.670,0.010
SDN,TJK,2,15075,257,1.016,7.782
STP,DOM,2,69,46940,1.111,0.043
CAN,XAD,7,384644,135,0.971,51.852
ECU,VNM,205,61055,47073,3.824,4.355
SOM,TGO,4,1345,908,3.620,4.405
GUM,GHA,5,3958,56052,0.336,0.089
CRI,GMB,6,27611,542,1.551,11.070
REU,GHA,14,2224,56052,1.254,0.250
RUS,FIN,2044,136230,32500,30.719,62.892
VEN,RUS,230,71139,136230,2.336,1.688
MWI,FSM,2,1396,50,7.570,40.000
SYC,AUT,41,534,61352,7.163,0.668
HRV,MLI,13,9250,925,4.444,14.054
GLP,AGO,2,1022,2537,1.242,0.788
JOR,VEN,41,27790,71139,0.922,0.576
AUS,BMU,65,179728,997,4.856,65.196
KHM,TCD,10,5940,308,7.393,32.468
TUR,FSM,2,717647,50,0.334,40.000
IDN,KEN,530,797242,62817,2.368,8.437
CYP,KNA,5,4285,641,3.017,7.800
ESH,SDN,4,555,15075,1.383,0.265
PYF,BTN,2,766,727,2.680,2.751
SWE,ALA,256,59123,444,49.966,576.577
VGB,VEN,5,698,71139,0.710,0.070
CMR,JOR,24,9757,27790,1.458,0.864
FJI,IND,139,1393,869366,3.994,0.160
BMU,MNG,2,997,2244,1.337,0.891
MOZ,PHL,54,2682,571031,1.380,0.095
BRN,LUX,4,1425,8446,1.153,0.474
LUX,SSD,4,8446,1682,1.061,2.378
GHA,SRB,34,56052,17319,1.091,1.963
GLP,PRI,12,1022,48671,1.701,0.247
SWZ,FJI,2,788,1393,1.909,1.436
MKD,ARM,18,1634,1505,11.478,11.960
JPN,NZL,2026,1087206,29647,11.285,68.337
PAN,TCD,5,12245,308,2.575,16.234
ESP,HND,381,612306,5203,6.750,73.227
MNG,KWT,12,2244,110415,0.762,0.109
NLD,ROU,1554,191777,18903,25.810,82.209
BTN,EGY,21,727,156265,1.970,0.134
WLF,BLR,1,4,4614,7.361,0.217
UGA,ERI,4,20930,65,3.429,61.538
SEN,SLV,1,3434,19968,0.121,0.050
GLP,SDN,4,1022,15075,1.019,0.265
ATG,SRB,6,1084,17319,1.385,0.346
JPN,MDG,68,1087206,754,2.375,90.186
AFG,TCD,6,1444,308,8.997,19.481
BEN,ESH,3,1200,555,3.676,5.405
ARM,TCD,2,1505,308,2.938,6.494
SGP,POL,728,75983,58288,10.939,12.490
VEN,BLZ,12,71139,1549,1.143,7.747
BTN,BDI,1,727,289,2.182,3.460
IRL,WSM,9,107364,228,1.819,39.474
ARM,SOM,1,1505,1345,0.703,0.743
PYF,TON,7,766,125,22.622,56.000
GUY,EST,3,442,7914,1.604,0.379
GNQ,BOL,2,196,5771,1.881,0.347
KEN,GTM,69,62817,9361,2.845,7.371
KEN,POL,228,62817,58288,3.768,3.912
