place_i,place_j,shared_users,place_i_users,place_j_users,pci,dir_pci
HRV,KWT,78,9250,110415,2.441,0.706
BFA,MDA,1,508,737,1.634,1.357
ARE,ARG,1135,172797,410228,4.263,2.767
HTI,LBR,5,2693,635,3.824,7.874
VGB,GUM,2,698,3958,1.203,0.505
SGP,BIH,85,75983,2960,5.668,28.716
HND,SUR,4,5203,319,3.105,12.539
KNA,LVA,2,641,9833,0.797,0.203
IRQ,GTM,17,8149,9361,1.946,1.816
MKD,MNG,9,1634,2244,4.700,4.011
JOR,DZA,528,27790,21587,21.557,24.459
ZAF,BRA,2099,180112,1284039,4.365,1.635
PRY,SRB,31,39492,17319,1.185,1.790
GRL,MNG,10,447,2244,9.985,4.456
TWN,SVK,53,61165,3599,3.572,14.726
LKA,CAN,319,7471,384644,5.951,0.829
CHL,EGY,381,143661,156265,2.543,2.438
GMB,ATG,2,542,1084,2.609,1.845
FJI,ALB,2,1393,1755,1.279,1.140
IRQ,CIV,7,8149,2962,1.425,2.363
IRN,LIE,5,14530,748,1.517,6.684
ALB,ARE,78,1755,172797,4.479,0.451
KNA,GNQ,1,641,196,2.821,5.102
GRL,NPL,18,447,8375,9.303,2.149
THA,PAK,780,349012,102573,4.122,7.604
FRA,MTQ,471,487938,991,21.419,475.277
SOM,CHL,5,1345,143661,0.360,0.035
BLZ,PRY,9,1549,39492,1.151,0.228
IND,XKO,48,869366,1164,1.509,41.237
IRL,BDI,2,107364,289,0.359,6.920
PYF,USA,495,766,4704692,8.246,0.105
NLD,LBN,279,191777,6368,7.984,43.813
SRB,LVA,139,17319,9833,10.651,14.136
COD,NGA,199,4194,218728,6.570,0.910
SUR,GUF,17,319,303,54.680,56.106
MRT,AZE,4,429,4083,3.022,0.980
BRN,DOM,3,1425,46940,0.367,0.064
MUS,TCD,9,1957,308,11.592,29.221
COM,OMN,3,104,40057,1.470,0.075
ESP,KGZ,77,612306,983,3.139,78.332
IRQ,JAM,27,8149,8567,3.231,3.152
GTM,TTO,24,9361,2571,4.892,9.335
SRB,POL,564,17319,58288,17.751,9.676
TUN,VGB,6,3690,698,3.739,8.596
GRC,NPL,163,61903,8375,7.159,19.463
SVK,MNE,49,3599,1771,19.409,27.668
PHL,ARE,5175,571031,172797,16.475,29.948
BIH,QAT,66,2960,38118,6.213,1.731
TKM,IRQ,7,188,8149,5.655,0.859
MNG,MLI,5,2244,925,3.470,5.405
PSE,GIN,3,3954,1066,1.461,2.814
